央视频道,#genre#
卫视频道,#genre#
370.64ms,番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?
371.09ms,番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
378.46ms,番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8?
379.45ms,人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
387.65ms,番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8?
580.28ms,香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
581.19ms,香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
581.18ms,香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
589.74ms,凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
653.10ms,1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy
670.16ms,音乐台[0*0],http://live.xmcdn.com:80/live/1427/64.m3u8
671.77ms,清晨音乐台[0*0],http://live.xmcdn.com:80/live/1011/64.m3u8
671.89ms,怀集音乐台[0*0],http://live.xmcdn.com:80/live/966/64.m3u8
678.97ms,老歌音乐台[0*0],http://live.xmcdn.com:80/live/2628/64.m3u8
725.43ms,1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
816.22ms,人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w614428743.m3u8
832.04ms,人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
834.10ms,人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
1523.81ms,亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
2366.93ms,神乐影院,http://zzy789.xyz/douyu1.php?id=122402
影视频道,#genre#
775.46ms,重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1KV9FqguWiPXrX6Q%3D%3D
省市频道,#genre#
577.59ms,武汉生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
1409.38ms,武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8
826.96ms,武汉经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8
1087.16ms,武汉新闻[640*484],http://stream.appwuhan.com/1tzb/sd/live.m3u8
1120.48ms,武汉生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8?
1122.25ms,武汉新闻[640*484],http://stream.appwuhan.com/1tzb/sd/live.m3u8?
1091.00ms,荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8?zhubd
1134.32ms,荆门科教,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8?
1531.68ms,荆门新闻,https://stream.jmtv.com.cn/xwzh/playlist.m3u8?_upt=bde94c031719918903
881.37ms,荆门新闻,https://stream.jmtv.com.cn/xwzh/playlist.m3u8?_upt=ffb84e861707375004
663.63ms,十堰新闻,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
1092.14ms,荆州综合,http://jingzhou-live21.cjyun.org:80/10085/s10085-jingzhou-tv01.m3u8?auth_key=1735660799-0-0-e0477d4b5bc584e7518a1bde13892cbe
1546.16ms,荆州新闻,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv01.m3u8?auth_key=1735660799-0-0-e0477d4b5bc584e7518a1bde13892cbe
454.49ms,崇阳综合,http://61.184.176.248:10500/live/live.m3u8
1072.34ms,宜都综合,http://yidushi-live21.cjyun.org/10092/s10092-yidushitv01.m3u8?auth_key=1735660799-0-0-f29f0d99f876e49e55132b30d52133db
1163.60ms,十堰经济,https://p8.vzan.com/slowlive/701367497774448672/live.m3u8?zbid=351104&tpid=1550600621
